Number	celltype
0	Midbrain/Hindbrain
1	Neural Plate
2	Neural Plate
3	Midbrain/Hindbrain
4	Spinal Cord Neural Stem Cells
5	Floor Plate
6	Spinal Cord Neural Stem Cells
7	Spinal Cord Neural Stem Cells
8	Spinal Cord Neural Stem Cells
9	Roof Plate
10	Brain Neural Stem Cells
11	Epiblast
12	Spinal Cord Neural Stem Cells
13	Spinal Cord
14	Epiblast
15	Roof Plate
16	Caudal Neuroectoderm/NMP
17	Spinal Cord
18	Midbrain/Hindbrain
19	Caudal Neuroectoderm/NMP
20	Rostral Neuroectoderm
21	Spinal Cord
22	Spinal Cord Neural Stem Cells
23	Rostral Neuroectoderm
24	Spinal Cord
25	Epiblast
26	Spinal Cord Neural Stem Cells
27	Spinal Cord
28	Brain Neural Stem Cells
29	Brain Neural Stem Cells
30	Spinal Cord
31	Spinal Cord Neural Stem Cells
32	Neurons
33	Neurons
34	Neurons
35	Brain Neural Stem Cells
36	Neurons
37	Epiblast
38	Neurons
39	Neural Crest
40	Epiblast
