Number	celltype
0	Ectoplacental Cone
1	Chorion
2	Chorion
3	Parietal Trophoblast Giant Cell
4	Sinusoidal Trophoblast Giant Cell
5	Chorion
6	Ectoplacental Cone
7	Labyrinth progenitors
8	Labyrinth progenitors
9	Labyrinth progenitors
10	Chorion
11	Labyrinth progenitors
12	Labyrinth progenitors
13	Sinusoidal Trophoblast Giant Cell
14	Chorion
15	Chorion
16	Chorion
17	Labyrinth progenitors
18	Labyrinth progenitors
19	Chorion
20	Chorion
21	Labyrinth progenitors
22	Chorion
23	Ectoplacental Cone
24	Labyrinth progenitors
25	Chorion
26	Chorion
27	Chorion
28	Labyrinth progenitors
29	Ectoplacental Cone
30	Ectoplacental Cone
31	Spongiotrophoblast
