Number	celltype
0	Primitive Streak
1	Primitive Streak
2	Paraxial mesoderm
3	Primitive Streak
4	Primitive Streak
5	Somitic Mesoderm
6	Posterior Nascent Mesoderm
7	Anterior Primitive Streak
8	Anterior Primitive Streak
9	Sclerotome
10	Primitive Streak
11	Pharyngeal Mesoderm
12	Notochord
13	Anterior Nascent Mesoderm
14	Somitic Mesoderm
15	Dermomyotome
16	Sclerotome
17	Pharyngeal Mesoderm
18	Anterior Nascent Mesoderm
19	Definitive Endoderm
20	Primitive Streak
21	Intermediate Mesoderm
22	Dermomyotome
23	Dermomyotome
24	Sclerotome
25	Intermediate Mesoderm
26	Gut
27	Cardiac Mesoderm
28	Pharyngeal Mesoderm
29	Pharyngeal Mesoderm
30	Foregut
31	Posterior Lateral Mesoderm
32	Pharyngeal Mesoderm
33	Endothelium
34	Gut
35	Gut
36	Pronephros
37	Endothelium
38	Cardiomyocytes
39	Primitive Streak
40	Sclerotome
